Point X,Point Y,Planting Site Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree: Height,block_fips
-78.891671598,35.9999702528,3214261,2018-10-23T18:16:29.444929+00:00,Dbh99999,,False,,,,,,,,370630009002015
-78.8902755082,36.000414007,3214453,2018-10-24T18:10:15.824074+00:00,Dbh99999,,False,,,,,,,,370630009002005
-78.93152221,36.01983033,3268535,2020-03-30T19:43:38.550581+00:00,DanHickey,2906908,True,Morus,rubra,,,Red mulberry,4.0,0-20,370630004012009
-78.91213558,36.01390813,3186082,2020-03-30T19:32:10.775957+00:00,DanHickey,2833234,True,Albizia,julibrissin,,,Mimosa,3.0,0-20,370630003012012
-78.90388705,36.02888758,3272285,2020-03-30T19:32:11.084974+00:00,DanHickey,2910076,True,Prunus,,,,Cherry,3.0,0-20,370630001022019
-78.92512411,35.9868073,3192267,2020-03-30T19:54:37.900177+00:00,DanHickey,2838314,True,Acer,buergerianum,,,Trident maple,6.0,0-20,370630006001002
-78.8891055451,36.0051847798,3213980,2020-09-23T13:40:14.468730+00:00,DanHickey,2853362,True,Cercis,chinensis,,,Chinese redbud,2.0,0-20,370630002002004
-78.9200912571,35.9902578734,3191525,2021-10-26T12:33:36.490125+00:00,DanHickey,,False,,,,,,,,370630005004005
-78.8800606504,35.9940975975,3166487,2018-06-07T13:27:53.413772+00:00,AlexJohnson,,False,,,,,,,,370630010011005
-78.90516311,35.98755159,2555806,2020-03-30T19:32:11.397724+00:00,DanHickey,2270496,True,Ulmus,americana,,,American elm,3.0,0-20,370630023001017
-78.91802526,35.98268351,3215391,2019-08-27T17:58:59.803866+00:00,DanHickey,2882350,True,Quercus,coccinea,,,Scarlet oak,0.5,0-20,370630007003004
-78.8916769624,35.9998943044,3214262,2018-10-23T18:15:58.644142+00:00,Dbh99999,,False,,,,,,,,370630009002015
-78.8884623349,36.000340229,3214454,2018-10-24T17:41:50.142559+00:00,Dbh99999,,False,,,,,,,,370630009002011
-78.8867544257,35.9724622875,3175251,2018-06-29T14:27:14.815150+00:00,KPIGNONE,,False,,,,,,,,370630014001001
-78.9055060193,35.967359,3179959,2018-07-11T13:08:48.125360+00:00,Dbh99999,,False,,,,,,,,370630013032008
-78.88936065,36.00537382,3213981,2020-03-30T19:43:38.808872+00:00,DanHickey,2853363,True,Cercis,chinensis,,,Chinese redbud,4.0,0-20,370630002002003
