NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25075_026E,B25075_027E,best_col,best,best_range
Geographic Area Name,Estimate!!Total,"Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more",3,"Estimate!!Total!!Less than $10,000","Less than $10,000"
"Block Group 1, Census Tract 15.03, Durham County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"Less than $10,000"
"Block Group 1, Census Tract 16.01, Durham County, North Carolina",416,0,0,14,0,0,0,0,0,0,0,14,0,0,0,55,57,28,98,0,92,45,13,0,0,0,0,20,98,"$200,000 to $249,999"
"Block Group 2, Census Tract 16.01, Durham County, North Carolina",1176,0,0,0,0,0,0,0,0,0,40,14,0,0,14,110,370,174,245,176,33,0,0,0,0,0,0,12,40,"$60,000 to $69,999"
"Block Group 3, Census Tract 16.01, Durham County, North Carolina",527,14,0,14,0,0,0,0,0,0,0,0,0,0,0,122,177,97,75,0,28,0,0,0,0,0,0,19,97,"$175,000 to $199,999"
"Block Group 1, Census Tract 16.03, Durham County, North Carolina",216,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,64,30,30,25,0,0,0,0,0,0,0,18,64,"$150,000 to $174,999"
"Block Group 2, Census Tract 16.03, Durham County, North Carolina",1149,0,0,17,0,0,0,0,0,0,0,0,0,0,21,209,102,327,199,253,21,0,0,0,0,0,0,19,327,"$175,000 to $199,999"
"Block Group 3, Census Tract 16.03, Durham County, North Carolina",419,0,0,0,0,0,0,0,0,15,0,0,0,0,42,67,204,34,57,0,0,0,0,0,0,0,0,17,67,"$125,000 to $149,999"
"Block Group 4, Census Tract 16.03, Durham County, North Carolina",701,0,0,0,0,0,0,0,0,0,0,0,14,0,36,0,36,73,101,108,274,46,13,0,0,0,0,19,73,"$175,000 to $199,999"
"Block Group 1, Census Tract 16.04, Durham County, North Carolina",712,15,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,140,188,87,169,19,18,0,0,0,0,21,87,"$250,000 to $299,999"
"Block Group 2, Census Tract 16.04, Durham County, North Carolina",1113,0,0,0,0,0,0,0,0,0,0,0,27,18,0,14,30,74,299,252,274,92,19,14,0,0,0,23,92,"$400,000 to $499,999"
"Block Group 3, Census Tract 16.04, Durham County, North Carolina",629,0,0,0,0,37,0,0,0,0,0,0,38,0,0,17,123,78,0,112,194,13,7,10,0,0,0,19,78,"$175,000 to $199,999"
"Block Group 1, Census Tract 17.05, Durham County, North Carolina",490,0,0,0,0,0,0,0,0,0,0,0,0,0,37,51,167,138,62,2,21,0,0,0,0,12,0,20,62,"$200,000 to $249,999"
"Block Group 2, Census Tract 17.05, Durham County, North Carolina",613,0,0,0,0,0,0,0,0,0,0,0,0,19,32,63,84,0,72,0,10,130,162,41,0,0,0,18,84,"$150,000 to $174,999"
"Block Group 3, Census Tract 17.05, Durham County, North Carolina",265,0,0,0,0,0,0,0,0,0,0,0,0,0,78,153,0,0,26,8,0,0,0,0,0,0,0,21,8,"$250,000 to $299,999"
"Block Group 1, Census Tract 17.06, Durham County, North Carolina",663,0,0,0,0,0,22,0,0,0,0,0,0,0,0,34,59,40,241,98,38,93,38,0,0,0,0,21,98,"$250,000 to $299,999"
"Block Group 2, Census Tract 17.06, Durham County, North Carolina",492,0,0,0,0,0,0,0,0,0,0,0,0,9,24,136,89,43,60,63,10,40,7,0,0,11,0,15,9,"$90,000 to $99,999"
"Block Group 1, Census Tract 17.07, Durham County, North Carolina",396,0,0,11,0,0,0,0,0,0,0,0,0,0,0,33,43,103,75,47,41,34,9,0,0,0,0,24,9,"$500,000 to $749,999"
"Block Group 2, Census Tract 17.07, Durham County, North Carolina",497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,55,38,103,107,116,0,14,0,0,0,0,17,64,"$125,000 to $149,999"
"Block Group 3, Census Tract 17.07, Durham County, North Carolina",213,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,20,12,79,16,0,0,0,0,0,22,79,"$300,000 to $399,999"
"Block Group 4, Census Tract 17.07, Durham County, North Carolina",838,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,110,144,219,164,48,98,14,0,13,0,0,23,98,"$400,000 to $499,999"
"Block Group 5, Census Tract 17.07, Durham County, North Carolina",395,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,20,0,13,15,0,52,107,102,58,0,0,26,58,"$1,000,000 to $1,499,999"
"Block Group 1, Census Tract 17.08, Durham County, North Carolina",1197,0,0,0,11,11,0,0,0,0,15,10,48,42,166,209,268,197,110,88,6,0,9,7,0,0,0,24,9,"$500,000 to $749,999"
"Block Group 1, Census Tract 17.09, Durham County, North Carolina",153,0,0,0,0,0,0,0,10,0,23,0,0,0,79,0,0,0,26,0,0,0,15,0,0,0,0,16,79,"$100,000 to $124,999"
"Block Group 2, Census Tract 17.09, Durham County, North Carolina",184,0,0,0,0,9,0,0,0,0,26,59,25,0,45,12,8,0,0,0,0,0,0,0,0,0,0,7,9,"$25,000 to $29,999"
"Block Group 3, Census Tract 17.09, Durham County, North Carolina",323,0,0,0,0,0,0,0,0,12,79,9,16,0,68,64,45,0,30,0,0,0,0,0,0,0,0,13,9,"$70,000 to $79,999"
"Block Group 1, Census Tract 17.10, Durham County, North Carolina",764,0,0,14,0,0,0,0,0,5,0,0,38,9,115,122,203,121,95,14,23,5,0,0,0,0,0,20,95,"$200,000 to $249,999"
"Block Group 2, Census Tract 17.10, Durham County, North Carolina",262,6,0,0,0,0,0,0,0,0,9,0,19,0,56,78,69,16,9,0,0,0,0,0,0,0,0,12,9,"$60,000 to $69,999"
"Block Group 1, Census Tract 17.11, Durham County, North Carolina",249,10,0,0,0,0,0,0,0,0,0,0,9,0,10,94,32,28,46,0,20,0,0,0,0,0,0,17,94,"$125,000 to $149,999"
"Block Group 2, Census Tract 17.11, Durham County, North Carolina",77,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,10,17,0,0,0,0,0,0,0,0,16,39,"$100,000 to $124,999"
"Block Group 3, Census Tract 17.11, Durham County, North Carolina",192,0,0,0,0,0,0,0,0,21,0,39,37,44,20,9,0,10,0,12,0,0,0,0,0,0,0,17,9,"$125,000 to $149,999"
"Block Group 1, Census Tract 18.01, Durham County, North Carolina",576,0,0,0,0,0,0,0,0,0,0,0,23,24,38,170,137,150,28,0,6,0,0,0,0,0,0,22,6,"$300,000 to $399,999"
"Block Group 2, Census Tract 18.01, Durham County, North Carolina",187,0,0,0,0,0,0,0,21,0,0,17,0,0,34,96,19,0,0,0,0,0,0,0,0,0,0,17,96,"$125,000 to $149,999"
"Block Group 3, Census Tract 18.01, Durham County, North Carolina",873,10,15,0,8,18,0,0,0,0,19,113,37,157,82,150,79,89,41,55,0,0,0,0,0,0,0,19,89,"$175,000 to $199,999"
"Block Group 4, Census Tract 18.01, Durham County, North Carolina",424,0,0,0,0,0,0,0,9,0,0,0,21,16,22,150,99,98,9,0,0,0,0,0,0,0,0,18,99,"$150,000 to $174,999"
"Block Group 5, Census Tract 18.01, Durham County, North Carolina",178,0,0,0,0,0,0,0,0,0,0,0,11,0,17,19,58,35,0,22,16,0,0,0,0,0,0,18,58,"$150,000 to $174,999"
"Block Group 1, Census Tract 18.02, Durham County, North Carolina",500,0,15,0,45,0,0,0,0,17,0,0,0,40,76,203,65,39,0,0,0,0,0,0,0,0,0,16,76,"$100,000 to $124,999"
"Block Group 2, Census Tract 18.02, Durham County, North Carolina",182,0,0,0,0,0,0,0,0,0,0,15,18,0,14,99,0,0,36,0,0,0,0,0,0,0,0,17,99,"$125,000 to $149,999"
"Block Group 3, Census Tract 18.02, Durham County, North Carolina",396,19,0,0,0,0,0,0,0,14,11,61,0,34,182,42,0,0,0,0,15,18,0,0,0,0,0,13,61,"$70,000 to $79,999"
"Block Group 4, Census Tract 18.02, Durham County, North Carolina",252,0,0,0,0,0,0,0,11,0,0,39,14,40,22,54,45,27,0,0,0,0,0,0,0,0,0,17,54,"$125,000 to $149,999"
"Block Group 1, Census Tract 18.06, Durham County, North Carolina",600,0,0,0,0,0,7,25,0,0,0,10,11,29,107,104,118,11,21,37,75,36,9,0,0,0,0,24,9,"$500,000 to $749,999"
"Block Group 2, Census Tract 18.06, Durham County, North Carolina",1338,12,0,0,0,0,0,0,0,45,0,0,0,0,95,404,320,134,170,117,0,0,41,0,0,0,0,16,95,"$100,000 to $124,999"
"Block Group 1, Census Tract 18.07, Durham County, North Carolina",724,101,72,116,0,0,0,0,0,0,20,0,32,0,53,55,87,99,44,0,14,16,15,0,0,0,0,19,99,"$175,000 to $199,999"
"Block Group 2, Census Tract 18.07, Durham County, North Carolina",1165,17,0,0,0,0,0,0,0,0,10,9,0,23,134,284,321,146,73,47,101,0,0,0,0,0,0,13,9,"$70,000 to $79,999"
"Block Group 3, Census Tract 18.07, Durham County, North Carolina",812,0,0,0,0,0,0,0,0,0,0,0,0,0,136,277,284,45,46,0,11,13,0,0,0,0,0,20,46,"$200,000 to $249,999"
"Block Group 1, Census Tract 18.08, Durham County, North Carolina",867,0,15,0,0,0,0,0,10,0,0,0,38,0,32,29,109,258,290,54,32,0,0,0,0,0,0,21,54,"$250,000 to $299,999"
"Block Group 2, Census Tract 18.08, Durham County, North Carolina",2383,22,0,0,14,0,0,0,11,0,0,12,0,0,26,86,89,184,596,570,580,136,57,0,0,0,0,18,89,"$150,000 to $174,999"
"Block Group 1, Census Tract 18.09, Durham County, North Carolina",404,0,0,0,0,0,0,0,16,0,0,0,0,0,47,130,85,70,43,0,13,0,0,0,0,0,0,18,85,"$150,000 to $174,999"
"Block Group 2, Census Tract 18.09, Durham County, North Carolina",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,140,191,181,30,0,0,0,0,0,0,18,47,"$150,000 to $174,999"
"Block Group 1, Census Tract 19, Durham County, North Carolina",708,0,0,0,13,0,0,8,0,0,0,0,0,10,15,14,24,41,42,58,272,100,111,0,0,0,0,9,8,"$35,000 to $39,999"
"Block Group 2, Census Tract 19, Durham County, North Carolina",1001,0,6,0,0,0,0,0,0,7,0,0,0,0,10,26,108,180,378,63,78,83,47,8,7,0,0,23,83,"$400,000 to $499,999"
"Block Group 1, Census Tract 20.07, Durham County, North Carolina",763,0,0,7,0,0,0,0,0,0,0,0,0,0,66,36,65,20,226,120,141,82,0,0,0,0,0,23,82,"$400,000 to $499,999"
"Block Group 2, Census Tract 20.07, Durham County, North Carolina",632,0,0,0,0,0,0,0,0,0,0,0,0,0,39,115,83,32,97,111,58,23,31,13,30,0,0,20,97,"$200,000 to $249,999"
"Block Group 3, Census Tract 20.07, Durham County, North Carolina",236,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,50,31,31,7,51,0,24,0,0,0,0,21,7,"$250,000 to $299,999"
