"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more","id","Geographic Area Name"
"177","81","11","18","0","12","11","18","0","12","0","12","0","12","0","12","9","14","59","59","24","33","10","16","11","18","0","12","30","42","3","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","0","12","0","12","1500000US370630010013","Block Group 3, Census Tract 10.01, Durham County, North Carolina"
"203","88","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","40","40","0","12","67","69","0","12","34","35","11","22","31","32","20","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010021","Block Group 1, Census Tract 10.02, Durham County, North Carolina"
"115","98","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","25","0","12","0","12","86","85","0","12","14","24","1","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010022","Block Group 2, Census Tract 10.02, Durham County, North Carolina"
"95","62","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","48","57","0","12","8","12","0","12","26","49","13","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010023","Block Group 3, Census Tract 10.02, Durham County, North Carolina"
"69","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","65","76","4","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010024","Block Group 4, Census Tract 10.02, Durham County, North Carolina"
"122","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","39","0","12","28","30","16","18","12","19","0","12","8","13","10","15","13","16","2","9","8","13","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011001","Block Group 1, Census Tract 11, Durham County, North Carolina"
"90","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","17","28","12","19","12","17","0","12","0","12","27","32","12","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011002","Block Group 2, Census Tract 11, Durham County, North Carolina"
"169","45","0","12","3","5","0","12","3","5","0","12","0","12","17","22","0","12","3","6","24","21","23","25","5","7","3","5","59","33","9","11","10","14","4","7","6","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013011","Block Group 1, Census Tract 13.01, Durham County, North Carolina"
"145","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","3","5","15","17","18","13","26","20","29","24","24","26","0","12","27","36","0","12","0","12","3","5","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013031","Block Group 1, Census Tract 13.03, Durham County, North Carolina"
"91","27","5","7","0","12","5","6","0","12","0","12","0","12","0","12","0","12","8","9","12","14","3","6","3","6","8","8","17","14","12","10","10","10","0","12","4","6","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013032","Block Group 2, Census Tract 13.03, Durham County, North Carolina"
